S1wantcurse	S1WantScold	S1WantShout	S2wantcurse	S2WantScold	S2WantShout	S3wantcurse	S3WantScold	S3WantShout	S4wantcurse	S4WantScold	S4WantShout	S1Docurse	S1DoScold	S1DoShout	S2Docurse	S2DoScold	S2DoShout	S3Docurse	S3DoScold	S3DoShout	S4Docurse	S4DoScold	S4DoShout	Anger	Geslacht
0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	1	0	0	1	0	0	2	2	2	20	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	1
1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	17	0
1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	2	1	1	1	0	0	0	0	0	21	0
1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	17	0
2	2	0	2	0	0	1	1	1	0	0	0	2	0	0	2	0	0	2	0	0	2	2	0	21	0
2	2	2	1	1	2	1	0	1	0	0	0	2	2	2	1	1	2	0	0	0	0	0	0	39	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	2	0	0	21	0
0	0	0	1	1	0	1	0	1	1	0	0	2	0	0	2	0	0	1	0	1	0	1	0	24	0
2	2	2	2	2	1	1	0	1	1	1	1	1	2	1	2	2	1	0	0	0	1	1	1	16	0
1	2	2	1	2	2	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	15	0
2	2	2	2	2	2	2	0	1	0	2	1	2	2	0	2	2	0	0	2	0	2	2	0	18	0
2	0	1	2	0	0	1	0	0	1	0	0	1	2	0	1	2	0	0	0	0	1	0	0	36	1
2	2	2	2	2	2	1	2	1	1	0	0	2	2	1	2	2	1	1	1	0	0	2	0	22	1
1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	16	0
1	0	1	1	0	1	1	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	1	0	18	0
1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	2	1	23	0
1	0	2	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	16	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
1	1	1	2	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	25	0
1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	22	0
2	2	2	1	1	2	2	1	1	1	1	2	2	2	2	1	2	0	1	2	0	1	2	0	15	0
2	2	1	2	1	2	2	1	2	1	1	2	2	2	2	1	2	2	1	2	0	1	2	0	26	0
1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0
0	0	0	0	0	0	0	0	1	2	1	0	2	2	0	2	0	0	0	0	0	2	0	0	33	0
0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0
2	2	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0
2	2	2	2	2	2	1	1	1	0	1	1	1	1	2	0	1	1	0	0	1	0	0	1	22	0
1	1	1	1	0	1	0	0	0	1	0	1	2	2	0	2	0	0	2	0	0	2	1	0	21	1
2	0	1	2	0	2	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	2	2	1	17	0
2	2	2	1	1	1	0	0	0	2	1	2	2	2	2	1	1	1	0	0	0	1	2	2	19	0
1	1	1	1	1	0	1	1	1	2	0	2	2	2	2	2	1	0	2	0	1	2	1	1	18	1
0	0	0	1	0	0	0	2	0	0	0	0	2	2	2	2	1	0	1	1	0	2	0	2	33	1
1	1	2	1	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	19	0
2	2	2	2	2	2	0	0	0	0	0	0	1	1	2	1	1	2	0	0	0	0	0	0	25	0
1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	1	2	2	1	2	2	2	2	0	17	0
0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
0	0	0	0	0	2	0	0	0	0	0	2	2	1	2	0	0	1	0	0	0	2	0	0	14	0
0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	2	0	25	1
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1
1	1	1	0	0	0	1	1	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	2	20	0
0	0	0	0	0	1	1	1	2	0	0	2	0	1	1	0	0	0	0	1	0	1	0	1	25	0
