Sample,Depth,Chl-a,DO,Turbity,pH,TDS,T,NH4-N,NO3-N,TN,TP,TOC,Ca,K,Mg,Na,F,CAC,CRC,16sCRA
1_1D,0.5,34.29,6.1,4.19,9.36,906.7,17.3,0.4,0.38,0.96,0.07,22.61,7.26,11,68.08,191.38,2.23,1690000,0.6444 ,0.361234777
1_1M,0.5,18.36,6.46,15.4,9.47,910.4,16.1,0.13,0.33,0.96,0.06,22.15,5.019,9.096,68.88,223.35,2.83,30000,0.0126 ,0.143713897
1_1S,0.5,31.69,6.9,3.25,9.51,866.8,24.2,0.15,0.38,1.1,0.04,21.54,5.59,12.81,79.5,214.14,1.56,1772500,0.7740 ,0.166268075
1_3D,15.5,21.79,5.99,5.55,9.46,905.8,17.4,0.35,0.47,0.75,0.07,23.97,6.54,11.26,69.18,195.08,2.22,3115000,0.7788 ,0.386106921
1_3M,15.5,44.2,6.02,15,9.48,910.4,15.4,0.14,0.32,0.95,0.07,20.71,4.953,8.715,67.86,220.17,2.34,40000,0.0110 ,0.128113617
1_3S,15.5,15.42,3.33,6.91,9.42,881,23.1,0.17,0.36,0.93,0.05,23.79,5.69,12.78,78.75,211.86,1.6,1520000,0.7170 ,0.098274403
10_1D,0.5,4.37,6.27,3.29,9.43,904.3,17.3,0.38,0.41,0.85,0.05,21.57,6.4,11.32,69.4,194.74,2.15,2240000,0.6767 ,0.273004893
10_1J,0.5,107.6,7.56,5.33,9.36,888.4,23.8,0.22,0.39,0.7,0.06,26.37,8.59,11.53,49.83,225.9034401,2.84,4693800,0.7867 ,0.097832886
10_1M,0.5,38.03,8.63,11.6,9.51,911,17.2,0.13,0.35,1.13,0.08,23.12,5.943,8.637,72.21,229.77,2.32,2650000,0.3797 ,0.324000147
10_1S,0.5,22.82,7.33,2.56,9.52,864.1,24.1,0.14,0.43,1.15,0.05,21.5,6.23,12.99,80.85,215.12,1.58,2045500,0.8003 ,0.213105707
10_3D,26.5,15.47,5.78,2.86,9.43,903.5,17.5,0.4,0.38,0.94,0.06,23.16,6.44,11.28,69.38,194.12,2.18,1780000,0.6967 ,0.134184481
10_3J,26.5,54.55,5.74,4.32,9.25,896.8,20.2,0.26,0.34,0.8,0.1,21.33,8.61,11.47,49.32,225.4202409,1.84,1887000,0.8227 ,0.09930461
10_3M,26.5,45.72,8.35,9.21,9.51,909.6,17.1,0.15,0.38,1.06,0.08,23.12,6.432,8.412,69.21,220.47,2.29,3990000,0.5363 ,0.236101402
10_3S,26.5,31.69,2.04,2.36,9.38,887.9,22.3,0.27,0.4,0.87,0.1,23.01,7.16,13.25,81.66,220.01,1.54,320500,0.6848 ,0.055410427
11_1D,0.5,8.87,6.19,3.45,9.44,899,17.7,0.41,0.38,1,0.05,23.95,6.42,11.34,69.62,194.3,2.18,2735000,0.6741 ,0.366569778
11_1J,0.5,50.59,7.05,3.39,9.28,916.2,23.2,0.62,0.4,0.8,0.1,25.1,10.94,11.13,48.05,218.0955024,2.76,4782500,0.8329 ,0.179955112
11_1M,0.5,52.1,8.44,9.29,9.52,917,17.2,0.16,0.33,1.06,0.08,24.08,4.731,8.34,70.23,222.36,2.52,2470000,0.7243 ,0.252805475
11_1S,0.5,26.52,6.41,2.67,9.51,866.9,24.2,0.16,0.42,0.77,0.07,23.76,5.58,13.06,79.62,214.26,1.6,1688000,0.7089 ,0.114978476
11_3D,26.5,23.47,5.68,2.93,9.44,902.5,17.3,0.41,0.4,0.84,0.04,23.63,6.46,11.3,69.92,195.42,2.17,3085000,0.6488 ,0.245483645
11_3J,26.5,63.16,6.24,5.27,9.29,893.8,22,0.29,0.34,0.6,0.09,22.37,8.6,11.49,49.58,225.8226362,2.92,2917500,0.8069 ,0.178409802
11_3M,26.5,45.71,7.54,9.69,9.53,912.9,15.9,0.14,0.34,1.15,0.07,23.12,5.511,8.25,69.54,220.05,2.27,2520000,0.7139 ,0.201405497
11_3S,26.5,21.34,3.81,2.37,9.41,880,22.4,0.43,0.4,0.85,0.1,23.46,7.28,13.13,81.95,218.6,1.54,1645500,0.8203 ,0.100555576
12_1D,0.5,12.66,5.88,3.35,9.45,902.7,17.4,0.43,0.39,0.94,0.08,23.66,6.38,11.34,69.76,197.1,2.15,3635000,0.6839 ,0.387321093
12_1J,0.5,145.4,7.31,5.55,9.34,890.8,23.7,0.27,0.41,0.9,0.13,32.16,8.43,11.42,49.53,224.73169,3.1,1416000,0.3630 ,0.177637146
12_1M,0.5,44.92,8.17,10.2,9.51,914.8,16.3,0.14,0.36,0.89,0.09,26.97,5.34,8.112,69.03,220.44,2.26,400000,0.1980 ,0.219470915
12_1S,0.5,22.32,6.97,2.9,9.52,868,24.2,0.15,0.44,0.76,0.07,23.87,5.81,12.84,80.4,214.74,1.54,2083000,0.7301 ,0.171492697
12_3D,21.5,19.54,5.66,2.67,9.44,900.8,17.5,0.42,0.37,0.84,0.08,24.87,6.52,11.34,69.74,194.84,2.29,3930000,0.7030 ,0.451304316
12_3M,21.5,55.12,7.94,13.4,9.5,912.3,16.4,0.15,0.33,0.86,0.1,24.56,6.501,8.238,68.7,220.02,2.22,730000,0.2786 ,0.205268774
12_3S,21.5,36.13,5.38,2.67,9.48,872.8,23.7,0.15,0.44,1.05,0.08,23.87,5.47,12.77,80.36,214.37,1.52,2275500,0.8543 ,0.088928953
13_1D,0.5,4.23,6.45,2.73,9.44,903.3,17.4,0.4,0.41,0.85,0.08,22.18,6.4,11.44,70.88,197.02,2.28,1377500,0.5088 ,0.382133265
